province,year,population,province_norm,atur_annual_mean_pct,n_quarters
Illes Balears,2010,1083683,illes balears,20.18,4
Barcelona,2010,5488633,barcelona,17.7275,4
Bizkaia,2010,1155818,bizkaia,12.11,4
Burgos,2010,374005,burgos,15.3725,4
Caceres,2010,411860,caceres,21.18,4
Cadiz,2010,1229844,cadiz,30.57,4
Cantabria,2010,588518,cantabria,13.7,4
Castello,2010,595853,castello,23.9025,4
Ciudad Real,2010,525459,ciudad real,22.2275,4
Cordoba,2010,799757,cordoba,28.06,4
A Coruna,2010,1138107,a coruna,13.98,4
Cuenca,2010,216609,cuenca,19.3525,4
Gipuzkoa,2010,705977,gipuzkoa,8.030000000000001,4
Girona,2010,741841,girona,17.857499999999998,4
Granada,2010,915317,granada,28.735,4
Guadalajara,2010,250531,guadalajara,17.2025,4
Huelva,2010,514629,huelva,27.305,4
Huesca,2010,226790,huesca,12.9625,4
Jaen,2010,666363,jaen,25.05,4
Leon,2010,494823,leon,16.1475,4
Lleida,2010,434179,lleida,14.635,4
Lugo,2010,351000,lugo,10.7825,4
Madrid,2010,6373532,madrid,15.8425,4
Malaga,2010,1566667,malaga,29.1225,4
Murcia,2010,1453545,murcia,22.8625,4
Navarra,2010,633017,navarra,11.9025,4
Ourense,2010,331649,ourense,16.4275,4
Palencia,2010,171894,palencia,15.165,4
Las Palmas,2010,1066491,las palmas,30.63,4
Pontevedra,2010,951701,pontevedra,18.195,4
La Rioja,2010,319939,la rioja,14.145,4
Salamanca,2010,350901,salamanca,16.03,4
Santa Cruz de Tenerife,2010,978677,santa cruz de tenerife,26.37,4
Segovia,2010,163174,segovia,11.9225,4
Sevilla,2010,1902956,sevilla,25.2675,4
Soria,2010,94987,soria,12.375,4
Tarragona,2010,798818,tarragona,18.5425,4
Teruel,2010,145112,teruel,12.12,4
Toledo,2010,692424,toledo,21.735,4
Valencia,2010,2553693,valencia,21.7025,4
Valladolid,2010,530503,valladolid,15.065,4
Zamora,2010,193751,zamora,17.1225,4
Zaragoza,2010,972282,zaragoza,15.8025,4
Ceuta,2010,79294,ceuta,23.92,4
Melilla,2010,76047,melilla,22.7725,4
Albacete,2011,400847,albacete,24.715,4
Alacant,2011,1844439,alacant,23.9075,4
Almeria,2011,686448,almeria,33.505,4
Araba,2011,319846,araba,10.75,4
Asturias,2011,1075877,asturias,17.84,4
Avila,2011,172771,avila,23.81,4
Badajoz,2011,689902,badajoz,27.085,4
Illes Balears,2011,1091656,illes balears,21.9475,4
Barcelona,2011,5505667,barcelona,19.1,4
Bizkaia,2011,1156030,bizkaia,14.1575,4
Burgos,2011,373252,burgos,14.975,4
Caceres,2011,412397,caceres,21.4975,4
Cadiz,2011,1238923,cadiz,32.525000000000006,4
Cantabria,2011,590874,cantabria,15.3,4
Castello,2011,595574,castello,25.965,4
Ciudad Real,2011,526166,ciudad real,23.84,4
Cordoba,2011,801792,cordoba,31.6225,4
A Coruna,2011,1140069,a coruna,15.8275,4
Cuenca,2011,216377,cuenca,19.5325,4
Gipuzkoa,2011,707258,gipuzkoa,10.1775,4
Girona,2011,747036,girona,21.7025,4
Granada,2011,919885,granada,29.1225,4
Guadalajara,2011,254656,guadalajara,19.5675,4
Huelva,2011,517890,huelva,31.24,4
Huesca,2011,226596,huesca,13.345,4
Jaen,2011,667059,jaen,28.075,4
Leon,2011,494211,leon,17.2,4
Lleida,2011,436689,lleida,13.78,4
Lugo,2011,349525,lugo,11.9075,4
Madrid,2011,6394239,madrid,16.3375,4
Malaga,2011,1581343,malaga,30.64,4
Murcia,2011,1459076,murcia,24.985,4
Navarra,2011,637099,navarra,12.9875,4
Ourense,2011,330019,ourense,17.775,4
Palencia,2011,171305,palencia,17.7975,4
Las Palmas,2011,1077087,las palmas,31.2875,4
Pontevedra,2011,953802,pontevedra,20.705,4
La Rioja,2011,320850,la rioja,17.2075,4
Salamanca,2011,350819,salamanca,16.745,4
Santa Cruz de Tenerife,2011,987789,santa cruz de tenerife,27.1,4
Segovia,2011,163423,segovia,13.9025,4
Sevilla,2011,1918747,sevilla,27.1325,4
Soria,2011,94898,soria,13.62,4
Tarragona,2011,803859,tarragona,19.985,4
Teruel,2011,144357,teruel,14.4975,4
Toledo,2011,701011,toledo,23.87,4
Valencia,2011,2559199,valencia,23.575,4
Valladolid,2011,531881,valladolid,16.63,4
Zamora,2011,192726,zamora,18.4525,4
Zaragoza,2011,973443,zaragoza,18.31,4
Ceuta,2011,81627,ceuta,27.745,4
Melilla,2011,78863,melilla,22.4075,4
Albacete,2012,401590,albacete,31.9175,4
Alacant,2012,1853209,alacant,28.025,4
Almeria,2012,689320,almeria,35.315,4
Araba,2012,320566,araba,16.572499999999998,4
Asturias,2012,1074304,asturias,21.8225,4
Avila,2012,171365,avila,24.58,4
Badajoz,2012,691842,badajoz,33.8025,4
Illes Balears,2012,1100715,illes balears,23.2575,4
Barcelona,2012,5518276,barcelona,22.515,4
Bizkaia,2012,1155709,bizkaia,16.89,4
Burgos,2012,372190,burgos,17.310000000000002,4
Caceres,2012,412501,caceres,31.7875,4
Cadiz,2012,1245363,cadiz,36.3775,4
Cantabria,2012,592387,cantabria,17.7925,4
Castello,2012,593924,castello,27.19,4
Ciudad Real,2012,526281,ciudad real,31.0675,4
Cordoba,2012,802717,cordoba,34.6475,4
A Coruna,2012,1141178,a coruna,18.38,4
Cuenca,2012,214752,cuenca,23.3775,4
Gipuzkoa,2012,708421,gipuzkoa,12.97,4
Girona,2012,751599,girona,24.2075,4
Granada,2012,922460,granada,35.5875,4
Guadalajara,2012,257731,guadalajara,22.6375,4
Huelva,2012,519980,huelva,34.78,4
Huesca,2012,225821,huesca,14.59,4
Jaen,2012,667260,jaen,35.8125,4
Leon,2012,492823,leon,21.5,4
Lleida,2012,438213,lleida,17.8325,4
Lugo,2012,347629,lugo,16.11,4
Madrid,2012,6425573,madrid,18.53,4
Malaga,2012,1598137,malaga,34.2875,4
Murcia,2012,1461928,murcia,27.615,4
Navarra,2012,640023,navarra,16.1625,4
Ourense,2012,328188,ourense,20.96,4
Palencia,2012,170301,palencia,18.9975,4
Las Palmas,2012,1089051,las palmas,33.9975,4
Pontevedra,2012,954921,pontevedra,24.5025,4
La Rioja,2012,320951,la rioja,20.5675,4
Salamanca,2012,349625,salamanca,19.7525,4
Santa Cruz de Tenerife,2012,996877,santa cruz de tenerife,31.005,4
Segovia,2012,162937,segovia,19.725,4
Sevilla,2012,1932573,sevilla,31.4975,4
Soria,2012,94463,soria,14.8275,4
Tarragona,2012,806904,tarragona,23.41,4
Teruel,2012,142918,teruel,16.24,4
Toledo,2012,705583,toledo,28.7625,4
Valencia,2012,2562514,valencia,26.6,4
Valladolid,2012,532644,valladolid,18.885,4
Zamora,2012,191306,zamora,23.215,4
Zaragoza,2012,975050,zaragoza,19.92,4
Ceuta,2012,83837,ceuta,37.02,4
Melilla,2012,81786,melilla,26.8575,4
Albacete,2013,399093,albacete,30.9875,4
Alacant,2013,1852733,alacant,28.255,4
Almeria,2013,692434,almeria,36.055,4
Araba,2013,320199,araba,17.5125,4
Asturias,2013,1067425,asturias,24.1275,4
Avila,2013,169373,avila,25.525,4
Badajoz,2013,690889,badajoz,34.395,4
Illes Balears,2013,1105131,illes balears,22.335,4
Barcelona,2013,5500080,barcelona,23.1175,4
Bizkaia,2013,1150032,bizkaia,17.7625,4
Burgos,2013,368784,burgos,20.4125,4
Caceres,2013,410135,caceres,32.955,4
Cadiz,2013,1246384,cadiz,39.615,4
Cantabria,2013,589789,cantabria,20.4475,4
Castello,2013,586696,castello,29.125,4
Ciudad Real,2013,522634,ciudad real,30.54,4
Cordoba,2013,799934,cordoba,35.162499999999994,4
A Coruna,2013,1137890,a coruna,20.18,4
Cuenca,2013,211356,cuenca,28.87,4
Gipuzkoa,2013,709043,gipuzkoa,14.115,4
Girona,2013,750022,girona,22.985,4
Granada,2013,921509,granada,37.035,4
Guadalajara,2013,256825,guadalajara,22.56,4
Huelva,2013,520327,huelva,34.8275,4
Huesca,2013,224776,huesca,17.165,4
Jaen,2013,661647,jaen,39.3575,4
Leon,2013,488756,leon,23.8925,4
Lleida,2013,435838,lleida,16.4725,4
Lugo,2013,344603,lugo,18.96,4
Madrid,2013,6411525,madrid,19.7625,4
Malaga,2013,1610728,malaga,35.735,4
Murcia,2013,1462271,murcia,28.98,4
Navarra,2013,639089,navarra,17.93,4
Ourense,2013,325140,ourense,24.06,4
Palencia,2013,168670,palencia,21.34,4
Las Palmas,2013,1094875,las palmas,34.8225,4
Pontevedra,2013,953087,pontevedra,24.7425,4
La Rioja,2013,318819,la rioja,20.035,4
Salamanca,2013,347040,salamanca,22.02,4
Santa Cruz de Tenerife,2013,1001461,santa cruz de tenerife,32.4825,4
Segovia,2013,161205,segovia,19.3275,4
Sevilla,2013,1935023,sevilla,34.010000000000005,4
Soria,2013,93373,soria,16.585,4
Tarragona,2013,802724,tarragona,26.9125,4
Teruel,2013,141092,teruel,19.7425,4
Toledo,2013,703566,toledo,32.0575,4
Valencia,2013,2548936,valencia,27.66,4
Valladolid,2013,530848,valladolid,20.0575,4
Zamora,2013,188878,zamora,26.165,4
Zaragoza,2013,971807,zaragoza,22.515,4
Ceuta,2013,84487,ceuta,34.79,4
Melilla,2013,83669,melilla,32.4075,4
Albacete,2014,396017,albacete,27.5175,4
Alacant,2014,1848236,alacant,26.03,4
Almeria,2014,690750,almeria,35.597500000000004,4
Araba,2014,320451,araba,17.197499999999998,4
Asturias,2014,1058560,asturias,21.1275,4
Avila,2014,167265,avila,26.0425,4
