province,year,value
Santa Cruz de Tenerife,2022,32886
Segovia,2022,3570
Sevilla,2022,23647
Soria,2022,2581
Tarragona,2022,27305
Teruel,2022,2840
Toledo,2022,17757
Valencia,2022,80350
Valladolid,2022,7652
Zamora,2022,1950
Zaragoza,2022,23683
Ceuta,2022,898
Melilla,2022,2013
Albacete,2023,6624
Alacant,2023,81414
Almeria,2023,22977
Araba,2023,6203
Asturias,2023,14403
Avila,2023,3440
Badajoz,2023,5700
Illes Balears,2023,45349
Barcelona,2023,206039
Bizkaia,2023,19714
Burgos,2023,6690
Caceres,2023,4164
Cadiz,2023,14090
Cantabria,2023,9230
Castello,2023,18106
Ciudad Real,2023,7237
Cordoba,2023,6280
A Coruna,2023,16591
Cuenca,2023,4941
Gipuzkoa,2023,12259
Girona,2023,27279
Granada,2023,17374
Guadalajara,2023,7309
Huelva,2023,10810
Huesca,2023,5293
Jaen,2023,5501
Leon,2023,5399
Lleida,2023,13450
Lugo,2023,5625
Madrid,2023,238039
Malaga,2023,54544
Murcia,2023,40240
Navarra,2023,14437
Ourense,2023,5467
Palencia,2023,2147
Las Palmas,2023,30967
Pontevedra,2023,11732
La Rioja,2023,6537
Salamanca,2023,5278
Santa Cruz de Tenerife,2023,32620
Segovia,2023,3539
Sevilla,2023,24431
Soria,2023,2405
Tarragona,2023,25877
Teruel,2023,2773
Toledo,2023,17524
Valencia,2023,86902
Valladolid,2023,8322
Zamora,2023,2113
Zaragoza,2023,22760
Ceuta,2023,804
Melilla,2023,2042
