province,year,value
La Rioja,2014,315736
Salamanca,2014,344104
Santa Cruz de Tenerife,2014,1003299
Segovia,2014,158798
Sevilla,2014,1934058
Soria,2014,92374
Tarragona,2014,795485
Teruel,2014,139470
Toledo,2014,697605
Valencia,2014,2531628
Valladolid,2014,528486
Zamora,2014,186117
Zaragoza,2014,967541
Ceuta,2014,84562
Melilla,2014,84103
Albacete,2015,394012
Alacant,2015,1838578
Almeria,2015,694051
Araba,2015,321541
Asturias,2015,1049328
Avila,2015,165694
Badajoz,2015,686250
Illes Balears,2015,1111002
Barcelona,2015,5453143
Bizkaia,2015,1141400
Burgos,2015,363328
Caceres,2015,405967
Cadiz,2015,1245567
Cantabria,2015,585184
Castello,2015,577738
Ciudad Real,2015,514152
Cordoba,2015,794359
A Coruna,2015,1127596
Cuenca,2015,205664
Gipuzkoa,2015,709766
Girona,2015,743431
Granada,2015,917546
Guadalajara,2015,254458
Huelva,2015,520840
Huesca,2015,222677
Jaen,2015,652317
Leon,2015,479104
Lleida,2015,431044
Lugo,2015,338430
Madrid,2015,6375737
Malaga,2015,1629179
Murcia,2015,1465195
Navarra,2015,637317
Ourense,2015,318288
Palencia,2015,165820
Las Palmas,2015,1097578
Pontevedra,2015,948487
La Rioja,2015,314457
Salamanca,2015,341635
Santa Cruz de Tenerife,2015,1003741
Segovia,2015,157578
Sevilla,2015,1935135
Soria,2015,91454
Tarragona,2015,793272
Teruel,2015,137871
Toledo,2015,694329
Valencia,2015,2528776
Valladolid,2015,527199
Zamora,2015,183885
Zaragoza,2015,965052
Ceuta,2015,84561
Melilla,2015,85009
Albacete,2016,391865
Alacant,2016,1837873
Almeria,2016,700055
Araba,2016,322974
Asturias,2016,1040407
Avila,2016,163669
Badajoz,2016,682970
Illes Balears,2016,1117353
Barcelona,2016,5472926
Bizkaia,2016,1140191
Burgos,2016,360572
Caceres,2016,403183
Cadiz,2016,1244475
Cantabria,2016,582494
Castello,2016,575546
Ciudad Real,2016,508629
Cordoba,2016,790749
A Coruna,2016,1123015
Cuenca,2016,202864
Gipuzkoa,2016,711261
Girona,2016,745797
Granada,2016,915706
Guadalajara,2016,254191
Huelva,2016,520086
Huesca,2016,221495
Jaen,2016,647007
Leon,2016,473574
Lleida,2016,429806
Lugo,2016,335752
Madrid,2016,6411466
Malaga,2016,1638378
Murcia,2016,1468367
Navarra,2016,638922
Ourense,2016,314476
Palencia,2016,164421
Las Palmas,2016,1099894
Pontevedra,2016,945852
La Rioja,2016,314025
Salamanca,2016,338308
Santa Cruz de Tenerife,2016,1003542
Segovia,2016,155991
Sevilla,2016,1935590
Soria,2016,90460
Tarragona,2016,792163
Teruel,2016,136377
Toledo,2016,691787
Valencia,2016,2526469
Valladolid,2016,524669
Zamora,2016,181057
Zaragoza,2016,960170
Ceuta,2016,84558
Melilla,2016,85457
Albacete,2017,390225
Alacant,2017,1836715
Almeria,2017,704871
Araba,2017,325250
Asturias,2017,1033550
Avila,2017,161782
Badajoz,2017,679042
Illes Balears,2017,1128492
Barcelona,2017,5507412
Bizkaia,2017,1141564
Burgos,2017,358416
Caceres,2017,400066
Cadiz,2017,1244090
Cantabria,2017,581421
Castello,2017,575433
Ciudad Real,2017,504403
Cordoba,2017,787735
A Coruna,2017,1120302
Cuenca,2017,200531
Gipuzkoa,2017,713130
Girona,2017,750468
Granada,2017,914780
Guadalajara,2017,255242
Huelva,2017,519144
Huesca,2017,220749
Jaen,2017,642515
Leon,2017,468637
Lleida,2017,429821
Lugo,2017,333152
Madrid,2017,6459297
Malaga,2017,1644147
Murcia,2017,1475275
Navarra,2017,642075
Ourense,2017,311385
Palencia,2017,163221
Las Palmas,2017,1105579
Pontevedra,2017,944116
La Rioja,2017,314136
Salamanca,2017,335783
Santa Cruz de Tenerife,2017,1009654
Segovia,2017,154854
Sevilla,2017,1936735
Soria,2017,89614
Tarragona,2017,793077
Teruel,2017,135324
Toledo,2017,691021
Valencia,2017,2531673
Valladolid,2017,522985
Zamora,2017,178243
Zaragoza,2017,959338
Ceuta,2017,85005
Melilla,2017,85918
Albacete,2018,388948
Alacant,2018,1839319
Almeria,2018,707319
Araba,2018,327763
Asturias,2018,1027091
Avila,2018,160104
Badajoz,2018,675742
Illes Balears,2018,1141233
Barcelona,2018,5556273
Bizkaia,2018,1143742
Burgos,2018,357165
Caceres,2018,396979
Cadiz,2018,1243737
Cantabria,2018,581533
Castello,2018,576342
Ciudad Real,2018,499168
Cordoba,2018,784079
A Coruna,2018,1120074
Cuenca,2018,198922
Gipuzkoa,2018,715749
Girona,2018,756522
Granada,2018,915140
Guadalajara,2018,256247
Huelva,2018,520445
Huesca,2018,220653
Jaen,2018,637669
Leon,2018,464276
Lleida,2018,430650
Lugo,2018,331128
Madrid,2018,6529923
Malaga,2018,1650068
Murcia,2018,1478718
Navarra,2018,646340
Ourense,2018,309290
Palencia,2018,162064
Las Palmas,2018,1111873
Pontevedra,2018,942556
La Rioja,2018,314890
Salamanca,2018,333500
Santa Cruz de Tenerife,2018,1019708
Segovia,2018,153983
Sevilla,2018,1938007
Soria,2018,89329
Tarragona,2018,795919
Teruel,2018,134449
Toledo,2018,691124
Valencia,2018,2542923
Valladolid,2018,520930
Zamora,2018,175662
Zaragoza,2018,958391
Ceuta,2018,85327
Melilla,2018,86084
Albacete,2019,387818
Alacant,2019,1855384
Almeria,2019,714123
Araba,2019,330104
Asturias,2019,1021469
Avila,2019,159237
Badajoz,2019,673384
Illes Balears,2019,1157928
Barcelona,2019,5622704
Bizkaia,2019,1147589
Burgos,2019,356607
Caceres,2019,394541
Cadiz,2019,1243186
Cantabria,2019,581989
Castello,2019,579592
Ciudad Real,2019,495686
Cordoba,2019,780982
A Coruna,2019,1120432
Cuenca,2019,197617
Gipuzkoa,2019,719613
Girona,2019,765476
Granada,2019,916879
Guadalajara,2019,259266
Huelva,2019,522138
Huesca,2019,220996
Jaen,2019,633375
Leon,2019,460247
Lleida,2019,432917
Lugo,2019,329070
Madrid,2019,6618078
Malaga,2019,1660348
Murcia,2019,1491312
Navarra,2019,652797
Ourense,2019,307764
Palencia,2019,161053
Las Palmas,2019,1121686
Pontevedra,2019,942944
La Rioja,2019,315967
Salamanca,2019,332044
Santa Cruz de Tenerife,2019,1031630
Segovia,2019,153571
Sevilla,2019,1941191
Soria,2019,89008
Tarragona,2019,803528
Teruel,2019,134025
Toledo,2019,696390
Valencia,2019,2554332
Valladolid,2019,520483
Zamora,2019,173318
Zaragoza,2019,965673
Ceuta,2019,85087
Melilla,2019,86373
Albacete,2020,387838
Alacant,2020,1877627
Almeria,2020,724003
Araba,2020,332874
Asturias,2020,1018053
Avila,2020,158819
Badajoz,2020,672045
Illes Balears,2020,1176816
Barcelona,2020,5690371
Bizkaia,2020,1154696
Burgos,2020,357121
Caceres,2020,392925
Cadiz,2020,1247160
Cantabria,2020,583011
Castello,2020,584201
Ciudad Real,2020,494817
Cordoba,2020,780825
A Coruna,2020,1121994
Cuenca,2020,197537
Gipuzkoa,2020,724347
Girona,2020,776698
Granada,2020,921966
Guadalajara,2020,262985
Huelva,2020,525333
Huesca,2020,222767
Jaen,2020,630524
Leon,2020,456697
Lleida,2020,437508
Lugo,2020,327573
Madrid,2020,6720310
Malaga,2020,1683380
Murcia,2020,1509077
Navarra,2020,659907
Ourense,2020,306825
Palencia,2020,160357
Las Palmas,2020,1131195
Pontevedra,2020,946213
La Rioja,2020,318703
Salamanca,2020,330834
Santa Cruz de Tenerife,2020,1045045
Segovia,2020,153641
Sevilla,2020,1947848
Soria,2020,89302
Tarragona,2020,815746
Teruel,2020,134085
Toledo,2020,704792
Valencia,2020,2584654
Valladolid,2020,520904
Zamora,2020,171301
Zaragoza,2020,973740
Ceuta,2020,84502
Melilla,2020,86558
Albacete,2021,386726
Alacant,2021,1887036
Almeria,2021,730430
Araba,2021,333485
Asturias,2021,1012117
Avila,2021,158898
Badajoz,2021,671092
Illes Balears,2021,1183415
Barcelona,2021,5702262
Bizkaia,2021,1153635
Burgos,2021,356042
Caceres,2021,390544
Cadiz,2021,1249873
Cantabria,2021,584708
Castello,2021,587632
Ciudad Real,2021,492900
Cordoba,2021,777622
A Coruna,2021,1120501
Cuenca,2021,196510
Gipuzkoa,2021,725508
Girona,2021,784941
Granada,2021,925046
Guadalajara,2021,265969
Huelva,2021,527254
Huesca,2021,223995
Jaen,2021,627568
Leon,2021,452435
Lleida,2021,439258
Lugo,2021,326068
Madrid,2021,6726640
Malaga,2021,1696955
Murcia,2021,1518279
Navarra,2021,662032
Ourense,2021,305297
Palencia,2021,159146
Las Palmas,2021,1131359
Pontevedra,2021,946311
La Rioja,2021,319444
Salamanca,2021,327735
Santa Cruz de Tenerife,2021,1047565
Segovia,2021,153626
Sevilla,2021,1950056
Soria,2021,88796
Tarragona,2021,823435
Teruel,2021,134259
Toledo,2021,710400
Valencia,2021,2593243
Valladolid,2021,519380
Zamora,2021,169165
Zaragoza,2021,973684
Ceuta,2021,84071
Melilla,2021,86450
Albacete,2022,385967
Alacant,2022,1907494
Almeria,2022,739541
Araba,2022,333908
Asturias,2022,1004960
Avila,2022,159102
Badajoz,2022,667851
Illes Balears,2022,1187043
Barcelona,2022,5699602
Bizkaia,2022,1148677
Burgos,2022,354846
Caceres,2022,388957
Cadiz,2022,1250545
Cantabria,2022,585450
Castello,2022,591300
Ciudad Real,2022,490950
Cordoba,2022,775110
A Coruna,2022,1119164
Cuenca,2022,196640
Gipuzkoa,2022,723241
Girona,2022,790432
Granada,2022,926019
Guadalajara,2022,268412
Huelva,2022,531094
Huesca,2022,225199
Jaen,2022,624191
Leon,2022,449270
Lleida,2022,440883
Lugo,2022,324240
Madrid,2022,6743254
Malaga,2022,1715109
Murcia,2022,1529658
Navarra,2022,664514
Ourense,2022,304223
Palencia,2022,157993
Las Palmas,2022,1133733
Pontevedra,2022,945198
La Rioja,2022,319617
Salamanca,2022,326285
Santa Cruz de Tenerife,2022,1051874
Segovia,2022,153731
Sevilla,2022,1949558
Soria,2022,88330
Tarragona,2022,830906
Teruel,2022,134132
Toledo,2022,716309
Valencia,2022,2609322
Valladolid,2022,518158
Zamora,2022,167868
Zaragoza,2022,968884
Ceuta,2022,83051
Melilla,2022,84932
Albacete,2023,387529
Alacant,2023,1955268
Almeria,2023,753364
Araba,2023,336308
Asturias,2023,1006060
Avila,2023,159764
Badajoz,2023,666049
Illes Balears,2023,1209906
Barcelona,2023,5797356
Bizkaia,2023,1153282
Burgos,2023,357370
Caceres,2023,388257
Cadiz,2023,1254866
Cantabria,2023,588387
Castello,2023,604086
Ciudad Real,2023,491927
Cordoba,2023,775002
A Coruna,2023,1123884
Cuenca,2023,198436
Gipuzkoa,2023,726712
Girona,2023,808672
Granada,2023,934072
Guadalajara,2023,275082
Huelva,2023,534084
Huesca,2023,226878
Jaen,2023,620637
Leon,2023,448573
Lleida,2023,447343
Lugo,2023,324267
Madrid,2023,6871903
Malaga,2023,1752728
Murcia,2023,1551692
Navarra,2023,672155
Ourense,2023,304563
Palencia,2023,157787
Las Palmas,2023,1145843
Pontevedra,2023,946710
La Rioja,2023,322282
Salamanca,2023,327089
Santa Cruz de Tenerife,2023,1067173
Segovia,2023,155332
Sevilla,2023,1959394
Soria,2023,89528
Tarragona,2023,848592
Teruel,2023,135046
Toledo,2023,731112
Valencia,2023,2656841
Valladolid,2023,521333
Zamora,2023,166927
Zaragoza,2023,979365
Ceuta,2023,83052
Melilla,2023,85493
Albacete,2024,389070
Alacant,2024,1993289
Almeria,2024,760964
Araba,2024,338594
Asturias,2024,1009599
Avila,2024,160463
Badajoz,2024,666029
Illes Balears,2024,1231768
Barcelona,2024,5877672
Bizkaia,2024,1159368
Burgos,2024,359740
Caceres,2024,388652
Cadiz,2024,1258730
Cantabria,2024,590851
Castello,2024,615188
Ciudad Real,2024,492948
Cordoba,2024,774313
A Coruna,2024,1128449
Cuenca,2024,199025
Gipuzkoa,2024,729722
Girona,2024,821108
Granada,2024,939741
Guadalajara,2024,280225
Huelva,2024,535734
Huesca,2024,228519
Jaen,2024,619055
Leon,2024,447802
Lleida,2024,451707
Lugo,2024,325048
Madrid,2024,7009268
Malaga,2024,1774701
Murcia,2024,1568492
Navarra,2024,678333
Ourense,2024,304467
Palencia,2024,158063
Las Palmas,2024,1159890
Pontevedra,2024,947869
La Rioja,2024,324184
Salamanca,2024,327552
Santa Cruz de Tenerife,2024,1078864
Segovia,2024,156620
Sevilla,2024,1968624
Soria,2024,90073
Tarragona,2024,861744
Teruel,2024,135309
Toledo,2024,743165
Valencia,2024,2710808
Valladolid,2024,525116
Zamora,2024,166253
Zaragoza,2024,987763
Ceuta,2024,83179
Melilla,2024,85985
