province_norm,year,votes_per100k_used,denuncies_per100k,ordres_per100k,feminicidis_per100k,atur_annual_mean_pct,immigracio_per100k
castello,2024,5214.015878073044,4310.877325305435,1204.5098408941658,0.1625519353433422,13.6525,
ceuta,2000,130.78329348896077,,,,,
ceuta,2003,130.78329348896077,0.0,0.0,1.406271972999578,9.46,4504.289129517649
ceuta,2004,248.80489782225823,6164.21123256269,0.0,0.0,10.8525,4001.8450700287945
ceuta,2005,247.28060792131475,0.0,0.0,0.0,19.44,4219.051720545129
ceuta,2006,244.48534461445487,0.0,0.0,0.0,21.225,4227.673543389281
ceuta,2007,240.0377587485672,0.0,0.0,0.0,21.005,4067.156631380217
ceuta,2008,100.99399351512253,0.0,0.0,0.0,17.45,582.0443310476797
ceuta,2009,98.80138321936506,4342.060788851044,1053.0147422063908,1.3000182002548035,18.6325,568.1079535113491
ceuta,2010,95.84583953388656,3442.883446414609,882.7906272857972,0.0,23.92,814.6896360380357
ceuta,2011,93.1064476214978,4336.800323422397,1139.328898526223,0.0,27.745,926.164136866478
ceuta,2012,90.65209871536436,4067.416534465689,1192.7907725705834,0.0,37.02,324.4390901391987
ceuta,2013,89.95466758199485,3183.921786783766,1041.58036147573,0.0,34.79,442.6716536271852
ceuta,2014,89.87488469998344,2826.328610960006,402.07185260518906,0.0,31.8425,428.08826659728953
ceuta,2015,89.87594754082852,1785.6931682454083,614.9406937004056,0.0,27.5475,435.1887986187487
ceuta,2016,164.38420965491142,2057.7591712197545,1549.2324794815393,0.0,24.880000000000003,470.68284491118527
ceuta,2017,163.51979295335568,5211.458149520616,1976.354332098112,0.0,22.37,492.9121816363743
ceuta,2018,162.90271543591126,3281.493548349292,1605.587914728046,0.0,28.9275,496.91188017860696
ceuta,2019,10685.533630284295,3102.706641437587,1339.8051406207762,0.0,25.815,472.4576022189054
ceuta,2020,10759.508650682825,2698.1609902724194,1065.0635487917446,0.0,24.5175,520.6977349648529
ceuta,2021,10814.668553960342,3271.044712207539,1189.470804439105,0.0,30.85,718.4403658812195
ceuta,2022,10947.490096446762,3010.198552696536,1107.7530673923252,1.2040794210786143,29.8525,1081.2633201285958
ceuta,2023,9333.91128449646,3913.2110003371386,1372.63401242595,0.0,29.98,968.0681982372488
ceuta,2024,9319.660010339148,3967.3475276211534,1454.6940934610898,0.0,27.4075,
ciudad real,2000,37.86350516743739,,,,,
ciudad real,2003,37.86350516743739,1493.8497667152892,0.0,0.0,11.0525,2636.3758625327164
ciudad real,2004,79.70364178028021,1819.4558843416155,756.0576816689819,0.0,9.6625,3471.923418937913
ciudad real,2005,78.74159195661723,1408.846992334334,544.511265715425,0.2024205448756227,10.65,4560.93971713753
ciudad real,2006,77.65773103674069,2327.735588402048,730.6614282634214,0.5989028100519848,10.9275,5567.40052224325
ciudad real,2007,76.39014351135445,1737.9248588058786,846.379225022976,0.3927513805211026,9.27,6077.434862183541
ciudad real,2008,55.02550220390604,1954.7521062646344,988.9198647834862,0.0,13.505,819.4182303721532
ciudad real,2009,54.58390271087327,2061.2103121588507,942.8128650059926,0.0,19.8,621.0350329411945
ciudad real,2010,54.42860432498063,2228.5278204388924,928.7118500206486,0.1903098053321001,22.2275,498.2310703594381
ciudad real,2011,46.94336008027885,2172.318241771608,750.7136531056739,0.1900540893938415,23.84,449.8580295952228
ciudad real,2012,46.93310227806058,2162.34293086773,744.8492345344027,0.1900125598302048,31.0675,285.9689025444582
ciudad real,2013,47.260606849152566,2162.1249287264127,857.1964319198521,0.1913384892678241,30.54,252.18412885499225
ciudad real,2014,47.68045217283874,2218.00969824258,922.722920591778,0.0,33.0325,284.5384068937826
ciudad real,2015,48.040268247522135,2322.270456985483,999.7043675800152,0.0,31.29,249.73159688185595
ciudad real,2016,79.82242459631676,3261.709418849496,1173.7435340886973,0.0,26.2325,318.6998775138657
ciudad real,2017,80.49119454087308,2856.8426436797563,937.7422418185458,0.3965083474919856,24.4125,401.0681934881434
ciudad real,2018,81.33534200910314,3449.7403679723056,871.4500929546766,0.0,20.1125,535.2907237643439
ciudad real,2019,2313.561407826729,3518.356378836602,978.4419975549037,0.0,18.26,747.0455086486203
ciudad real,2020,2317.624495520566,3031.423738473012,638.6199342383144,0.4041898317964015,17.8975,490.0801710531368
ciudad real,2021,2326.63826333942,3140.596469872185,766.8898356664638,0.0,17.732499999999998,537.837289511057
ciudad real,2022,2335.879417455953,3326.2042977899987,908.442814950606,0.2036867298095528,19.355,1521.5398716773602
ciudad real,2023,2543.060250809572,3667.210785340101,1105.8551370426912,0.2032821943093182,16.475,1471.153240216536
ciudad real,2024,2537.7930329365367,3669.758270649237,1081.2499492847114,0.2028611537119534,16.9225,
cordoba,2000,54.69938185782077,,,,,
cordoba,2003,54.69938185782077,1704.9497065946043,0.0,0.1305474507346558,21.085,1102.473221454168
cordoba,2004,122.38535944047958,2168.6737606048923,612.5757121517112,0.5191319594506026,20.835,1337.1541445548896
cordoba,2005,121.5464628432592,1740.0607087847286,532.3296835022911,0.1288933858359058,14.845,1785.9467541423112
cordoba,2006,120.79228466501596,2427.374119196238,664.805893331318,0.2561872421315291,14.485,1972.2574835495768
cordoba,2007,119.9159698060998,1613.715436733199,719.750147510631,0.1271643370160125,13.78,2172.857026592606
cordoba,2008,141.29265114213663,1877.173793745529,769.5403321134227,0.1261541528054791,16.322499999999998,402.30559329667295
cordoba,2009,140.4691670178396,1674.3423032929986,624.5861176328939,0.125418899123071,26.0025,260.99672907511086
cordoba,2010,140.0425379208935,1282.8896777396135,478.895464497341,0.125037980286512,28.06,263.8301384045404
cordoba,2011,62.60975415070243,1526.5804597701149,557.5011973180077,0.124720625798212,31.6225,226.74209770114945
cordoba,2012,62.53760665340338,1462.5328727309873,513.2568514183704,0.0,34.6475,186.11789709200127
cordoba,2013,62.75517730212742,2033.9177982183528,568.7969257463741,0.2500206267017029,35.162499999999994,189.14060409983824
cordoba,2014,62.99963605787934,2074.470087722601,592.3471756836465,0.1254972829838234,33.64,187.74393534379985
cordoba,2015,63.195608031129495,2062.0399592627514,630.6972036572885,0.1258876654006563,29.9875,192.98579105920624
cordoba,2016,131.26794975396743,1910.8465518135336,564.0222118523071,0.0,30.245,254.69523198891176
cordoba,2017,131.77020190800206,2288.8407903673187,550.9467016191993,0.0,28.17,271.28412473737995
cordoba,2018,132.38461940697303,2328.846965675653,517.8049660812239,0.0,24.7375,325.9875599269972
cordoba,2019,7288.132120842734,2475.0890545492725,551.869313249217,0.5121756967510135,23.06,488.7436586246546
cordoba,2020,7289.597541062339,2611.3405692696824,610.8923254250312,0.1280696699004258,24.255,266.769122402587
cordoba,2021,7319.623158809807,3072.1867436878074,551.6819225793508,0.0,21.0525,257.9659526093655
cordoba,2022,7343.344815574564,3663.996077976029,539.2782959837958,0.1290139464076066,19.4175,897.6790391041272
cordoba,2023,8067.850147483491,3669.667949244002,594.837174613743,0.129031925078903,18.4075,810.320489495511
cordoba,2024,8075.029090303275,3629.023405263763,648.3166368122452,0.0,16.6175,
cuenca,2000,46.22519123808956,,,,,
cuenca,2003,46.22519123808956,904.622022078742,0.0,0.0,9.1975,4029.047313719935
cuenca,2004,64.48976778760714,1196.2605780449262,536.5942510571891,0.0,8.715,5082.876735931631
cuenca,2005,63.658363542709424,1054.493502959385,534.5358770761859,0.0,6.425,6929.042792026668
cuenca,2006,62.94445512204498,2248.7026715356524,643.8593119354218,0.4804920238324043,6.9475,7363.059773207764
cuenca,2007,62.0517824492928,1624.7146091685065,767.3579203653002,0.0,5.7575,8892.825677122313
cuenca,2008,77.24415201276855,1847.345081269224,865.5067635165633,0.0,7.9675,1582.5744638278666
cuenca,2009,76.69739182664541,1871.2315475777948,831.658465590131,0.0,15.982499999999998,1032.1805622935292
cuenca,2010,76.63578152339008,2063.626165117793,600.1597348217294,0.9233226689565068,19.3525,929.7859276392024
