province_norm,year,votes,province_votes,province_pop,population,votes_per100k
murcia,2004,629,Murcia,Murcia,1276812.0,49.26332146001134
murcia,2008,1199,Murcia,Murcia,1419567.0,84.46237479456764
murcia,2011,0,Murcia,Murcia,1459076.0,0.0
murcia,2016,641,Murcia,Murcia,1468367.0,43.653936652076766
murcia,2019,15839,Murcia,Murcia,1491312.0,1062.0849292435119
murcia,2023,16069,Murcia,Murcia,1551692.0,1035.5792257741873
navarra,2000,987,Navarra,,,
navarra,2004,1857,Navarra,Navarra,576346.0,322.20228820881897
navarra,2008,1674,Navarra,Navarra,616711.0,271.43994512826913
navarra,2011,0,Navarra,Navarra,637099.0,0.0
navarra,2016,2622,Navarra,Navarra,638922.0,410.37873167616704
navarra,2019,143234,Navarra,Navarra,652797.0,21941.583677621067
navarra,2023,163500,Navarra,Navarra,672155.0,24324.746524239203
ourense,2000,875,Ourense,,,
ourense,2004,1545,Ourense,Ourense,336018.0,459.7967966001822
ourense,2008,735,Ourense,Ourense,332808.0,220.84805653710248
ourense,2011,0,Ourense,Ourense,330019.0,0.0
ourense,2016,0,Ourense,Ourense,314476.0,0.0
ourense,2019,17771,Ourense,Ourense,307764.0,5774.229604502151
ourense,2023,19491,Ourense,Ourense,304563.0,6399.661153849942
palencia,2000,145,Palencia,,,
palencia,2004,495,Palencia,Palencia,172692.0,286.637481759433
palencia,2008,460,Palencia,Palencia,172709.0,266.34396586165167
palencia,2011,471,Palencia,Palencia,171305.0,274.9481918216047
palencia,2016,747,Palencia,Palencia,164421.0,454.3215282719361
palencia,2019,23501,Palencia,Palencia,161053.0,14592.09080240666
palencia,2023,27244,Palencia,Palencia,157787.0,17266.31471540748
pontevedra,2000,205,Pontevedra,,,
pontevedra,2004,230,Pontevedra,Pontevedra,916516.0,25.095033801919445
pontevedra,2008,175,Pontevedra,Pontevedra,940727.0,18.602633920361594
pontevedra,2011,0,Pontevedra,Pontevedra,953802.0,0.0
pontevedra,2016,306,Pontevedra,Pontevedra,945852.0,32.35178442293297
pontevedra,2019,5608,Pontevedra,Pontevedra,942944.0,594.7330912546238
pontevedra,2023,6573,Pontevedra,Pontevedra,946710.0,694.2992046138733
salamanca,2000,495,Salamanca,,,
salamanca,2004,1356,Salamanca,Salamanca,345714.0,392.2317291171315
salamanca,2008,885,Salamanca,Salamanca,349843.0,252.9706182487573
salamanca,2011,0,Salamanca,Salamanca,350819.0,0.0
salamanca,2016,1597,Salamanca,Salamanca,338308.0,472.0550504274211
salamanca,2019,66927,Salamanca,Salamanca,332044.0,20156.0636542145
salamanca,2023,76325,Salamanca,Salamanca,327089.0,23334.627578426665
santa cruz de tenerife,2000,331,Santa Cruz de Tenerife,,,
santa cruz de tenerife,2004,752,Santa Cruz de Tenerife,Santa Cruz de Tenerife,860609.0,87.37998324442343
santa cruz de tenerife,2008,843,Santa Cruz de Tenerife,Santa Cruz de Tenerife,951836.0,88.56567728053993
santa cruz de tenerife,2011,0,Santa Cruz de Tenerife,Santa Cruz de Tenerife,987789.0,0.0
santa cruz de tenerife,2016,0,Santa Cruz de Tenerife,Santa Cruz de Tenerife,1003542.0,0.0
santa cruz de tenerife,2019,31385,Santa Cruz de Tenerife,Santa Cruz de Tenerife,1031630.0,3042.272907922414
