Provincia;Any - Trimestre;Percentatge
Avila;2013T1;27,04
Avila;2012T4;22,38
Avila;2012T3;24,03
Avila;2012T2;26,37
Avila;2012T1;25,54
Avila;2011T4;21,89
Avila;2011T3;21,78
Avila;2011T2;24,01
Avila;2011T1;27,56
Avila;2010T4;22,3
Avila;2010T3;21,59
Avila;2010T2;23,47
Avila;2010T1;25,91
Avila;2009T4;21,07
Avila;2009T3;20,11
Avila;2009T2;16,79
Avila;2009T1;18,11
Avila;2008T4;15,21
Avila;2008T3;11,53
Avila;2008T2;9,53
Avila;2008T1;8,83
Avila;2007T4;5,68
Avila;2007T3;7,44
Avila;2007T2;6,83
Avila;2007T1;7,81
Avila;2006T4;7,29
Avila;2006T3;5,57
Avila;2006T2;5,97
Avila;2006T1;8,54
Avila;2005T4;8,52
Avila;2005T3;9,11
Avila;2005T2;8,18
Avila;2005T1;8,55
Avila;2004T4;8,55
Avila;2004T3;8,54
Avila;2004T2;10,77
Avila;2004T1;10,17
Avila;2003T4;8,83
Avila;2003T3;7,4
Avila;2003T2;11,48
Avila;2003T1;8,06
Avila;2002T4;10,51
Avila;2002T3;8,6
Avila;2002T2;7,05
Avila;2002T1;9,75
Badajoz;2024T4;14,53
Badajoz;2024T3;13,51
Badajoz;2024T2;15,94
Badajoz;2024T1;17,6
Badajoz;2023T4;17,6
Badajoz;2023T3;19,23
Badajoz;2023T2;18,35
Badajoz;2023T1;19,52
Badajoz;2022T4;18,81
Badajoz;2022T3;16,41
Badajoz;2022T2;16,13
Badajoz;2022T1;19,14
Badajoz;2021T4;20,33
Badajoz;2021T3;18,93
Badajoz;2021T2;19,83
Badajoz;2021T1;23,02
Badajoz;2020T4;22,91
Badajoz;2020T3;21,26
Badajoz;2020T2;21,54
Badajoz;2020T1;24,65
Badajoz;2019T4;24,64
Badajoz;2019T3;20,15
Badajoz;2019T2;20,94
Badajoz;2019T1;24,03
Badajoz;2018T4;24,1
Badajoz;2018T3;23,03
Badajoz;2018T2;26,03
Badajoz;2018T1;28,64
Badajoz;2017T4;27,01
Badajoz;2017T3;26,18
Badajoz;2017T2;27,62
Badajoz;2017T1;31,8
Badajoz;2016T4;31,75
Badajoz;2016T3;27,98
Badajoz;2016T2;28,75
Badajoz;2016T1;30,48
Badajoz;2015T4;30,01
Badajoz;2015T3;29,63
Badajoz;2015T2;30,83
Badajoz;2015T1;30,54
Badajoz;2014T4;31,54
Badajoz;2014T3;28,53
Badajoz;2014T2;30,96
Badajoz;2014T1;34,05
Badajoz;2013T4;33,07
Badajoz;2013T3;33,51
Badajoz;2013T2;34,74
Badajoz;2013T1;36,26
Badajoz;2012T4;35,49
Badajoz;2012T3;32,66
Badajoz;2012T2;34,2
Badajoz;2012T1;32,86
Badajoz;2011T4;30,5
Badajoz;2011T3;25,33
Badajoz;2011T2;25,2
